સ્<=>તા,8,7,1,0.875,0.125
તા<=>ક્,1,1,0,1.0,0.0
ક્<=>ષ,51,34,16,0.6666666666666666,0.3137254901960784
ષ<=>ર,7,2,5,0.2857142857142857,0.7142857142857143
હિ<=>તે,1,1,0,1.0,0.0
તે<=>ચ્,1,0,1,0.0,1.0
ચ્<=>છુ,1,1,0,1.0,0.0
હ<=>રે,1,1,0,1.0,0.0
રે<=>ક,4,0,4,0.0,1.0
હ<=>સ,3,1,2,0.3333333333333333,0.6666666666666666
સ<=>વું,25,25,0,1.0,0.0
હા<=>શ,1,0,1,0.0,1.0
હિ<=>સા,3,2,1,0.6666666666666666,0.3333333333333333
સા<=>બ,4,1,3,0.25,0.75
બ<=>ની,1,1,0,1.0,0.0
ની<=>શ,1,0,1,0.0,1.0
હિ<=>જ,1,0,1,0.0,1.0
જ<=>રા,5,5,0,1.0,0.0
રા<=>વું,6,6,0,1.0,0.0
હા<=>જ,4,2,2,0.5,0.5
જ<=>ર,8,2,6,0.25,0.75
હા<=>સ્,2,0,2,0.0,1.0
સ્<=>ય,2,2,0,1.0,0.0
હાં<=>જા,1,1,0,1.0,0.0
સ્<=>વી,6,2,4,0.3333333333333333,0.6666666666666666
વી<=>કા,3,3,0,1.0,0.0
કા<=>ર,58,5,53,0.08620689655172414,0.9137931034482759
હા<=>થો,2,2,0,1.0,0.0
થો<=>હા,1,1,0,1.0,0.0
હા<=>થ,4,0,4,0.0,1.0
હ<=>મા,1,1,0,1.0,0.0
મા<=>લ,9,0,9,0.0,1.0
હ<=>સ્,8,1,7,0.125,0.875
સ્<=>ત,26,20,5,0.7692307692307693,0.19230769230769232
ત<=>ક્,1,1,0,1.0,0.0
ક્<=>ષે,5,2,3,0.4,0.6
ષે<=>પ,3,0,3,0.0,1.0
હા<=>ડ,4,0,4,0.0,1.0
ડ<=>વૈ,1,1,0,1.0,0.0
વૈ<=>દ,2,0,2,0.0,1.0
હ<=>વા,5,5,0,1.0,0.0
વા<=>લો,2,2,0,1.0,0.0
હા<=>ર,19,1,18,0.05263157894736842,0.9473684210526315
હ<=>રી,2,2,0,1.0,0.0
રી<=>ફા,1,1,0,1.0,0.0
ફા<=>ઈ,2,1,1,0.5,0.5
સં<=>વા,3,3,0,1.0,0.0
વા<=>દી,3,3,0,1.0,0.0
હા<=>જ,4,2,2,0.5,0.5
જ<=>ર,8,2,6,0.25,0.75
ર<=>જ,20,7,13,0.35,0.65
જ<=>વા,8,7,1,0.875,0.125
વા<=>બી,1,1,0,1.0,0.0
હા<=>લ,9,2,7,0.2222222222222222,0.7777777777777778
લ<=>ત,7,0,7,0.0,1.0
હા<=>ડ,4,0,4,0.0,1.0
ડ<=>મા,1,1,0,1.0,0.0
મા<=>રી,4,4,0,1.0,0.0
સ્<=>થ,6,4,2,0.6666666666666666,0.3333333333333333
થ<=>ળ,3,0,3,0.0,1.0
હ<=>રિ,3,3,0,1.0,0.0
રિ<=>હ,1,1,0,1.0,0.0
હ<=>ર,11,5,6,0.45454545454545453,0.5454545454545454
હ<=>મે,1,1,0,1.0,0.0
મે<=>શ,2,0,2,0.0,1.0
હા<=>થો,2,2,0,1.0,0.0
હ<=>ક,5,0,5,0.0,1.0
હા<=>નિ,2,2,0,1.0,0.0
નિ<=>ક,8,1,7,0.125,0.875
ક<=>ર્,7,0,6,0.0,0.8571428571428571
ર્<=>તા,3,3,0,1.0,0.0
હ<=>ળ,6,0,6,0.0,1.0
ળ<=>વે,2,2,0,1.0,0.0
હ<=>લા,1,1,0,1.0,0.0
લા<=>વ,11,2,9,0.18181818181818182,0.8181818181818182
